"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"11";"NiN-3.0-T-C-PE-NA-MB--M020-";593666321,886636;NA;153620752,521334;488289017,34104;601610442,260442;NA;NA;NA;NA;151625332,369942;NA;495821193,181818;NA;NA
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";6887377428,63053;1456908374,38424;4193608372,12309;1190018497,10983;5763919147,42015;1227449473,68421;27114521,7391304;1565021547,16981;703758047,945205;3469281635,83815;NA;631244931,818182;519088839,662447;35755851,0638298
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-02";64818669,8386429;NA;63710932,2472201;NA;54022162,1621622;12100000;NA;NA;12301198,630137;51717167,6300578;NA;NA;NA;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-03";507342392,428631;255418719,211823;221201975,045255;10820809,2485549;514131372,850123;NA;NA;274372641,509434;NA;218328724,710983;NA;10987727,2727273;NA;NA
"15";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-04";181431697,352089;59030103,9956212;116406422,937678;NA;183859517,813268;NA;NA;63410566,0377358;NA;114894389,450867;NA;NA;NA;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-05";11812748,2416218;5675971,5380405;5656578,0967158;NA;11970820,02457;NA;NA;6097169,81132075;NA;5583103,32369942;NA;NA;NA;NA
"17";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-06";76025636,119156;5675971,5380405;68772081,0705974;NA;77042969,9017199;NA;NA;6097169,81132075;NA;67878782,5144509;NA;NA;NA;NA
"18";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-08";21808150,5999173;11351943,076081;9526868,37341608;NA;22099975,4299754;NA;NA;12194339,6226415;NA;9403121,38728324;NA;NA;NA;NA
"19";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";4003007199,00703;113519430,76081;1436175407,29247;2702497109,82659;2265001926,28993;1631844210,52632;182817608,695652;NA;595378013,69863;785395713,872832;90398406,374502;1616019988,63636;1014706265,82278;105642287,234043
"20";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";111463880,844022;NA;69069795,7072666;45988439,3063584;55249938,5749386;59863157,8947368;NA;NA;16833219,1780822;52892557,8034682;NA;NA;42001476,7932489;NA
"21";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-03";10904075,2999586;NA;10717726,9200931;NA;11049987,7149877;NA;NA;NA;NA;10578511,5606936;NA;NA;NA;NA
"22";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";7584147840,29789;1943906732,34811;4683646664,08068;831038150,289017;5520573862,40786;1407675789,47368;676014326,086957;1435029886,79245;965708835,616438;3602100725,43353;484173864,541833;350233806,818182;443980316,455696;166048005,319149
"23";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";4100235203,765;2220042747,67378;1679825065,94259;24346820,8092486;3441887006,75676;234357894,736842;407642184,782609;1937375707,54717;238254794,520548;1406471881,50289;331671752,988048;24722386,3636364;NA;40631648,9361702
