"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"77";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01/04";540941978,472386;329865108,657412;17021908,0259997;176736698,791356;186306018,594478;341850244,923707;NA
"78";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/03/05/06";329191664,530893;197075959,485419;62008379,2375703;64308209,0959765;NA;256667888,81157;73219947,2596465
"79";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/05";1134599108,62979;775024923,024475;46202321,7848563;273642517,325638;174186883,978079;907416256,68929;44806236,3827688
"80";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";179053574,288763;89579981,5842812;24317011,4657138;62090684,6443911;18486815,5165414;160277327,947837;NA
"81";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";1017157758,04039;695140657,094022;164139827,393568;133051467,095124;191646654,188145;815957305,916259;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05/06";202408388,326427;175998316,759705;NA;16631433,3868905;NA;181572916,975871;21856700,6745214
"83";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";719328272,360072;74825631,6762819;NA;638425289,611436;591372687,468029;79578253,7363384;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";54494566,0878843;21077642,7257132;24317011,4657138;9978860,03213429;29784313,8877611;22416409,5031939;NA
"85";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";27163984207,2078;17212003049,8174;5123837485,94056;4300777797,6273;1987948895,21208;21064139599,9137;4039118284,65155
"86";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";3056589090,52941;2216314132,60874;743371040,506872;37697915,6769517;16432724,9035923;2422541375,01017;624008804,257585
"87";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";164818259,065805;142484864,825821;15806057,452714;NA;NA;98632201,8140532;65788669,0303093
"88";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";3877343983,85305;2516248988,59564;164382997,508226;1068403280,77384;256966735,679925;2768874901,83451;836893068,827423
"89";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";216643703,549385;182110833,150162;NA;24392768,9674394;NA;178434619,645424;38904927,200648
"90";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";1821230641,33713;1068214933,33915;88270751,6205413;611371491,302094;547004330,22833;1053571246,65011;180317780,564801
"91";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";12233474,0197291;NA;NA;12196384,4837197;NA;12329025,2267567;NA
"92";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";87858586,1416909;24239289,1345702;53497425,2245705;13305146,7095124;NA;78457433,2611787;9835515,30353461
"93";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";225095921,963016;NA;246088156,033024;NA;7189317,14532164;219008320,846205;NA
"94";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";33364020,0538067;11592703,4991423;23101160,8924282;NA;NA;33624614,2547909;NA
"95";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";55606700,0896778;8431057,09028529;51065724,0779991;NA;NA;56041023,7579848;NA
"96";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03/04";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA
"97";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";40036824,064568;NA;43770620,6382849;NA;NA;40349537,1057491;NA
"98";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";2689584869,93754;1998582083,25213;381777080,011707;230622542,964881;118110210,24457;1951124283,158;614828989,974286
"99";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";20018412,032284;10538821,3628566;NA;8870097,80634158;NA;20174768,5528745;NA
"100";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";18906278,0304905;NA;NA;18848957,8384759;NA;19053948,0777148;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";276254086,045519;182321609,577419;NA;83600671,8247694;NA;278411806,029668;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01/02";59832809,2964933;56698858,9321686;NA;NA;NA;60300141,5635916;NA
"103";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";86746452,1398974;18969878,4531419;24317011,4657138;44350489,0317079;20540906,1294904;65007587,5592624;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01/02";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA
"105";"O3-C-1";22242680,0358711;NA;NA;22175244,515854;20540906,1294904;NA;NA
"106";"T1";2164657621,09098;1303652202,58536;609141137,216132;231066047,855198;382060854,008522;1748928269,43919;15299690,4721649
"107";"T1-C-10";43373226,0699487;20023760,5894276;24317011,4657138;NA;NA;43711998,5312281;NA
"108";"T1-C-12";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA
"109";"T1-C-9";118998338,191911;79041160,2214245;38907218,3451422;NA;13351588,9841688;105357124,665011;NA
"110";"T12";22242680,0358711;NA;NA;22175244,515854;20540906,1294904;NA;NA
"111";"T13";628355711,013359;405744622,469979;148333769,940854;64308209,0959765;16432724,9035923;615330440,862673;NA
"112";"T14";169044368,272621;NA;184809287,139425;NA;NA;170364712,224274;NA
"113";"T16-C-7";64503772,1040263;NA;70519333,2505701;NA;NA;65007587,5592624;NA
"114";"T17-C-1";12900754,4208053;12225032,7809137;NA;NA;NA;13001517,5118525;NA
"115";"T18";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA
"116";"T19";153474492,247511;NA;167787379,113426;NA;NA;154673225,572038;NA
"117";"T2";574973278,927269;257147241,253701;NA;302692087,641407;347141313,588388;200626865,053586;NA
"118";"T2-C-5";13345608,0215227;12646585,6354279;NA;NA;NA;13449845,7019164;NA
"119";"T22";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA
"120";"T25-C-2";45597494,0735358;43209167,5877121;NA;NA;NA;45953639,4815475;NA
"121";"T26";37812556,0609809;NA;41338919,4917135;NA;NA;38107896,1554297;NA
"122";"T27";354770746,572144;114873152,855137;255328620,389995;NA;NA;357541731,575943;NA
"123";"T29";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA
"124";"T3";1940673833,12976;993810854,517378;829210090,980842;133051467,095124;287572685,812866;1642001996,10895;NA
"125";"T3-C-7";943312060,321294;221315248,619989;775955835,870929;NA;NA;846443622,840602;101633658,136524
"126";"T3-C-8";1396173025,85163;365486324,863867;1104721830,88738;NA;NA;1368970128,36005;37156391,1466863
"127";"T3-C-9";650153537,448513;137004677,717136;552725670,615676;NA;NA;578343365,182403;74968483,3136082
"128";"T31";44485360,0717422;21077642,7257132;24317011,4657138;NA;NA;44832819,0063878;NA
"129";"T31-C-7";242445212,390995;213938073,665989;18237758,5992854;NA;NA;211835069,805183;31692215,978056
"130";"T31-C-8";33364020,0538067;31616464,0885698;NA;NA;NA;21295589,0280342;12021185,3709867
"131";"T32";174605038,281588;86418335,1754242;NA;83157166,9344524;NA;153552405,096878;21856700,6745214
"132";"T32-C-10";108989132,175769;103280449,355995;NA;NA;NA;109840406,56565;NA
"133";"T32-C-9";291823962,070629;222790683,610789;48634022,9314277;12196384,4837197;NA;294103292,681904;NA
"134";"T34";101204194,163214;32670346,2248555;NA;66525733,5475619;61622718,3884712;34745434,7299506;NA
"135";"T35";276921366,446595;129627502,763136;48634022,9314277;95353551,418172;32865449,8071847;243218043,109654;NA
"136";"T35-C-1";865462680,195745;293400786,741928;17021908,0259997;538636689,290093;77028397,985589;771348651,004903;16392525,505891
"137";"T35-C-2";1067871068,52217;539798430,205516;9726804,58628554;487855379,348787;50325220,0172515;952921567,980774;66662937,0572901
"138";"T35-C-3";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA
"139";"T36-C-1";739569111,192715;394151918,970837;9726804,58628554;313779709,899334;19513860,8230159;724050026,953164;NA
"140";"T36-C-2";18906278,0304905;17915996,3168562;NA;NA;NA;19053948,0777148;NA
"141";"T36-C-3";147913822,238543;55855753,22314;97268045,8628554;NA;NA;149069123,19624;NA
"142";"T37";14457742,0233162;NA;NA;14413908,9353051;13351588,9841688;NA;NA
"143";"T37-C-2";509357372,821449;190752666,667705;NA;307127136,544577;52379310,6302005;431515882,936483;24042370,7419735
"144";"T37-C-3";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA
"145";"T38";133456080,215227;23185406,9982845;NA;108658698,127684;27730223,274812;104236304,189852;NA
"146";"T38-C-1";1711129375,15957;710316559,856535;23101160,8924282;937569338,130306;121807573,347878;1591565074,72677;NA
"147";"T39";63391638,1022327;60071281,7682827;NA;NA;NA;63886767,0841027;NA
"148";"T39-C-1";31139752,0502196;16862114,1805706;NA;13305146,7095124;NA;31382973,3044715;NA
"149";"T39-C-2";35588288,0573938;NA;NA;35480391,2253663;NA;35866255,2051103;NA
"150";"T39-C-3";78961514,1273425;NA;86325390,7032842;NA;NA;79578253,7363384;NA
"151";"T39-C-4";339200870,547035;48478578,2691404;NA;287169416,480309;32865449,8071847;289171682,591202;16392525,505891
"152";"T4";3762349328,0676;1901203373,85933;121585057,328569;1639859331,9474;466278569,139432;2971295079,64835;303808139,375847
"153";"T4-C-3";2982520966,00996;1480493625,0541;200615344,592139;1232943595,08148;161246113,1165;2600527666,46553;223594047,900353
"154";"T4-C-7";595214117,759911;230800187,84656;NA;350590615,795651;NA;599863118,305469;NA
"155";"T40";44485360,0717422;42155285,4514264;NA;NA;NA;NA;43713401,3490427
"156";"T40-C-1";164595832,265446;95903274,4019951;NA;63199446,8701838;NA;121048611,317247;43713401,3490427
"157";"T41";111213400,179356;NA;NA;110876222,57927;NA;112082047,51597;NA
"158";"T41-C-1";658383329,061785;266632180,480272;NA;375870394,543725;71893171,4532164;544718750,927612;39342061,2141384
"159";"T42";21797826,4351537;NA;NA;21731739,6255369;NA;21968081,31313;NA
"160";"T43";266912160,430453;25293171,2708559;NA;239492640,771223;41081812,2589808;224164095,031939;NA
"161";"T43-C-1";536715869,26557;66394574,5859966;NA;465236629,942616;78055443,2920635;444517400,448335;10928350,3372607
"162";"T44";1251150752,01775;NA;NA;1247357504,01679;369736310,330827;857427663,497167;NA
"163";"T44-C-1";1339676618,56052;267686062,616558;NA;1053989371,83854;82163624,5179616;1260474706,36459;NA
"164";"T45";229099604,369473;40047521,1788551;24317011,4657138;164096809,417319;120164300,857519;99753022,2892129;NA
"165";"T45-C-1";1075433579,73437;310895230,20427;NA;745088215,732693;149948614,74528;901139662,028396;18578195,5733432
"166";"T45-C-2";858567449,384625;441576615,103692;NA;391393065,704822;46217038,7913534;804749101,164662;9835515,30353461
"167";"T45-C-3";937528963,511968;155974556,170278;NA;770589746,925925;39027721,6460318;891052277,751958;10928350,3372607
"168";"T6";102316328,165007;NA;NA;102006124,772928;94488168,1956559;NA;NA
"169";"T7";229099604,369473;112765388,582566;120369206,755284;NA;41081812,2589808;186056198,87651;NA
"170";"T7-C-11";73400844,1183747;NA;80246137,8368557;NA;NA;73974151,3605399;NA
"171";"T7-C-13";114327375,384378;NA;124989438,933769;NA;NA;115220344,846417;NA
"172";"T7-C-6";651932951,851382;24450065,5618273;684523872,759845;NA;NA;501230916,491416;151904069,687923
"173";"T7-C-7";321851580,119055;NA;351867155,908879;NA;NA;284015908,405467;39342061,2141384
"174";"V1";40481677,6652854;38361309,7607981;NA;NA;NA;40797865,2958129;NA
"175";"V1-C-4";746464342,003835;627270647,517225;92404643,5697126;NA;NA;622279527,808663;126768863,912224
"176";"V11-C-1";22242680,0358711;12646585,6354279;NA;8870097,80634158;8216362,45179616;13449845,7019164;NA
"177";"V12";20018412,032284;18969878,4531419;NA;NA;NA;20174768,5528745;NA
"178";"V12-C-1";442629332,713835;251877830,572273;NA;176293193,901039;40054766,9525063;402374550,582331;NA
"179";"V12-C-2";35588288,0573938;18969878,4531419;NA;15522671,1610978;NA;35866255,2051103;NA
"180";"V12-C-3";44485360,0717422;NA;NA;44350489,0317079;NA;44832819,0063878;NA
"181";"V2";52270298,0842971;17915996,3168562;NA;33262866,7737809;NA;52678562,3325057;NA
"182";"V3";77849380,1255489;62179046,040854;NA;12196384,4837197;11297498,3712197;66128408,0344221;NA
"183";"V6";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA
"184";"V6-C-3";176606879,484817;8009504,23577102;183836606,680797;NA;NA;177986291,45536;NA
"185";"V9-C-3";209748472,738265;198762170,903476;NA;NA;NA;211386741,615119;NA
