"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"56";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-09";194,4;78,7;99,2;16,5;10;180,4;4;10;64,7;99,2;NA;NA;4;16,5;NA;NA
"57";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";1116,75;250;616,75;250;NA;1116,75;NA;NA;250;616,75;NA;NA;NA;250;NA;NA
"58";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";2901,75;1400;1501,75;NA;NA;2901,75;NA;NA;1400;1501,75;NA;NA;NA;NA;NA;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";1514,25;837,5;439,25;237,5;237,5;1276,75;NA;NA;837,5;439,25;237,5;NA;NA;NA;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01";125;NA;125;NA;NA;125;NA;NA;NA;125;NA;NA;NA;NA;NA;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-03";125;NA;125;NA;NA;125;NA;NA;NA;125;NA;NA;NA;NA;NA;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01";30566,825;8148,525;21916,15;502,15;NA;29207,7;1359,125;NA;7048,775;21656,775;NA;259,375;1099,75;502,15;NA;NA
"63";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-02";7003,175;1806,475;5093,85;102,85;NA;6612,3;390,875;NA;1581,225;4928,225;NA;165,625;225,25;102,85;NA;NA
"64";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";2227,5;412,5;1815;NA;NA;1890;337,5;NA;412,5;1477,5;NA;337,5;NA;NA;NA;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02";175;175;NA;NA;NA;175;NA;NA;175;NA;NA;NA;NA;NA;NA;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-02";75;NA;NA;75;75;NA;NA;NA;NA;NA;75;NA;NA;NA;NA;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-03";75;NA;NA;75;75;NA;NA;NA;NA;NA;75;NA;NA;NA;NA;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01";633,75;106,25;527,5;NA;NA;633,75;NA;NA;106,25;527,5;NA;NA;NA;NA;NA;NA
"69";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";225;NA;225;NA;NA;225;NA;NA;NA;225;NA;NA;NA;NA;NA;NA
"70";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01";3735;124,5;3610,5;NA;NA;3735;NA;NA;124,5;3610,5;NA;NA;NA;NA;NA;NA
"71";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02";821,25;25,5;795,75;NA;NA;821,25;NA;NA;25,5;795,75;NA;NA;NA;NA;NA;NA
"72";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-03";168,75;NA;168,75;NA;NA;168,75;NA;NA;NA;168,75;NA;NA;NA;NA;NA;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TE08-M020-01";633,75;106,25;527,5;NA;NA;633,75;NA;NA;106,25;527,5;NA;NA;NA;NA;NA;NA
"74";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01";300;NA;300;NA;NA;300;NA;NA;NA;300;NA;NA;NA;NA;NA;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-02";200;NA;200;NA;NA;200;NA;NA;NA;200;NA;NA;NA;NA;NA;NA
"76";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";362,5;362,5;NA;NA;NA;362,5;NA;NA;362,5;NA;NA;NA;NA;NA;NA;NA
"77";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";1762,5;625;390;747,5;NA;1762,5;NA;NA;625;390;NA;NA;NA;747,5;NA;NA
"78";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06";17653,875;847,5;16806,375;NA;NA;17541,5;112,375;NA;847,5;16694;NA;112,375;NA;NA;NA;NA
"79";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07";1882,375;92,5;1789,875;NA;NA;1776;106,375;NA;92,5;1683,5;NA;106,375;NA;NA;NA;NA
"80";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";94226,25;7015;86961,25;250;NA;92857,5;1368,75;NA;7015;85592,5;NA;1368,75;NA;250;NA;NA
"81";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-10";181,25;181,25;NA;NA;NA;181,25;NA;NA;181,25;NA;NA;NA;NA;NA;NA;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-11";181,25;181,25;NA;NA;NA;181,25;NA;NA;181,25;NA;NA;NA;NA;NA;NA;NA
"83";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";9295;NA;9295;NA;NA;9295;NA;NA;NA;9295;NA;NA;NA;NA;NA;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-17";145;145;NA;NA;NA;145;NA;NA;145;NA;NA;NA;NA;NA;NA;NA
"85";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";15515;12080;1100;2335;502,5;15012,5;NA;127,5;11952,5;975;250;NA;NA;2085;125;NA
"86";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";7795;7063,75;543,75;187,5;247,5;7116,25;431,25;247,5;6385;543,75;NA;NA;431,25;187,5;NA;NA
"87";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";1762,5;1668,75;93,75;NA;NA;1581,25;181,25;NA;1487,5;93,75;NA;NA;181,25;NA;NA;NA
"88";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";44542,5;33977,5;5115;5450;6740;36052,5;1750;2477,5;29750;4940;4087,5;NA;1750;1362,5;175;NA
"89";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";5407,5;4570;337,5;500;250;4838,75;318,75;NA;4251,25;337,5;250;NA;318,75;250;NA;NA
