"";"M020_kode3";"kartleggingsenhet_250m2";"Norge_area"
"41";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-17";16792,5
"42";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-2";131050
"43";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-6";29635
"44";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-18";35945
"45";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-19";4000
"46";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-4";2870
"47";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-8";4075
"48";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";"T4-C-13";17817,5
"49";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";"T4-C-14";600
"50";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";"T4-C-16";150
"51";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";"T6-C-1";295
"52";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";"T5-C-5";250
"53";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05";"T29-C-5";220
"54";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05/09";"T29-C-1";87,5
"55";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";"T12-C-2";487,5
"56";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01/03";"T12-C-1";100
"57";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";"T7-C-1";11620
"58";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";"T7-C-2";20810
"59";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01/02";"T7-C-4";25677,5
"60";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";"T7-C-12";687,5
"61";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";"T7-C-3";16970
"62";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-14";175
"63";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-8";2112,5
"64";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-9";1350
"65";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";"T7-C-5";4262,5
"66";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";"T7-C-10";937,5
"67";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01/04";"T13-C-3";425
"68";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02/05";"T13-C-6";250
"69";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";"T13-C-10";625
"70";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";"T13-C-11";1050
"71";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";"T13-C-12";100
"72";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";"T13-C-13";250
"73";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";"T13-C-14";250
"74";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";"T13-C-1";21520
