"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"46";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";452638538,729977;60071281,7682827;425547700,649992;NA;NA;456173933,389996;NA;NA;583511821,613537;1415959902,59955;NA;NA;NA;NA;NA;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";83410050,1345167;NA;91188792,9964269;NA;NA;66128408,0344221;17485360,5396171;NA;NA;238690383,581067;NA;163680081,271111;NA;NA;NA;NA
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01";37812556,0609809;14754349,9079993;24317011,4657138;NA;NA;38107896,1554297;NA;NA;143318693,027886;80911994,4342599;NA;NA;NA;NA;NA;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA;NA;NA;60683995,8256949;NA;NA;NA;NA;NA;NA
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-03";5560670,00896778;NA;6079252,86642846;NA;NA;5604102,37579848;NA;NA;NA;20227998,608565;NA;NA;NA;NA;NA;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";756362334,619798;194652030,571962;559291263,711419;39250182,7930615;12324543,6776942;748820159,454193;NA;806447918,182634;1767938448,994;1860975871,98798;NA;NA;NA;587660598,351187;NA;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";488275760,68345;104505060,398359;387968191,130878;23051166,6742302;12940770,861579;472318231,514197;5507888,56997938;846770314,091766;834544749,501381;1290918506,40084;NA;NA;44853773,0196034;345126097,167265;NA;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";123842793,903723;19905725,7901636;107612502,54037;4390698,41413909;2464908,73553885;121044128,035347;1049121,63237702;161289583,636527;158960904,66693;358067940,169374;NA;NA;8543575,81325779;65738304,2223361;NA;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";1928551572,51021;516718411,420859;1288558437,56818;204012249,545856;85244760,4373852;1828170277,03298;21856700,6745214;806447918,182634;4896380776,80271;4145930594,81148;1161927524,14097;204600101,588889;NA;2124874479,91389;266800418,604791;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";51887723,9876802;19905725,7901636;28946970,4487858;4390698,41413909;2464908,73553885;48527043,2925142;1049121,63237702;161289583,636527;158960904,66693;96317638,174543;NA;NA;8543575,81325779;65738304,2223361;NA;NA
"56";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-09";17295907,9958934;6635241,93005452;9648990,14959525;1463566,13804636;821636,245179616;16175681,0975047;349707,210792342;53763194,545509;52986968,2223099;32105879,3915143;NA;NA;2847858,60441926;21912768,074112;NA;NA
"57";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";99358051,7202363;21077642,7257132;59990067,2859161;22175244,515854;NA;100134101,250767;NA;NA;204740990,039837;199609890,269319;NA;NA;NA;332011637,486546;NA;NA
"58";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";258170787,176356;118034799,263994;146072287,874543;NA;NA;260187265,103572;NA;NA;1146549544,22309;486038350,566599;NA;NA;NA;NA;NA;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";134723912,977271;70610103,1311393;42724989,1452592;21066482,2900613;19513860,8230159;114480603,332811;NA;NA;685882316,633455;142162374,220995;394225409,9764;NA;NA;NA;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01";11121340,0179356;NA;12158505,7328569;NA;NA;11208204,751597;NA;NA;NA;40455997,2171299;NA;NA;NA;NA;NA;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-03";11121340,0179356;NA;12158505,7328569;NA;NA;11208204,751597;NA;NA;NA;40455997,2171299;NA;NA;NA;NA;NA;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01";2719552432,74987;687006794,766169;2131741083,33722;44541196,1345443;NA;2618927055,38575;118823953,217035;NA;5772692688,27222;7009171433,05607;NA;212272605,398472;782983125,052521;666878575,055476;NA;NA
"63";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-02";623077523,040847;152304938,571731;495468835,418506;9122895,59382232;NA;592896098,231877;34172951,5046141;NA;1294966287,90297;1595010055,08312;NA;135547567,302639;160370037,66136;136589587,661965;NA;NA
"64";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";198182279,119612;34778110,4974268;176541503,241083;NA;NA;169468055,844146;29506545,9106038;NA;337822633,565732;478189887,106476;NA;276210137,145;NA;NA;NA;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02";15569876,0251098;14754349,9079993;NA;NA;NA;15691486,6522357;NA;NA;143318693,027886;NA;NA;NA;NA;NA;NA;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-02";6672804,01076134;NA;NA;6652573,35475619;6162271,83884712;NA;NA;NA;NA;NA;124492234,729389;NA;NA;NA;NA;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-03";6672804,01076134;NA;NA;6652573,35475619;6162271,83884712;NA;NA;NA;NA;NA;124492234,729389;NA;NA;NA;NA;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01";56385193,8909333;8957998,15842812;51308894,1926562;NA;NA;56825598,0905966;NA;NA;87014920,7669309;170724308,256288;NA;NA;NA;NA;NA;NA
"69";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA;NA;NA;72820794,9908339;NA;NA;NA;NA;NA;NA
"70";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01";332305639,735915;10496666,0774052;351186279,587839;NA;NA;334901157,977717;NA;NA;101961013,039839;1168531023,61958;NA;NA;NA;NA;NA;NA
"71";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02";73067203,9178366;2149919,55802275;77401047,4953672;NA;NA;73637905,217992;NA;NA;20883580,9840634;257542878,284249;NA;NA;NA;NA;NA;NA
"72";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-03";15013809,024213;NA;16413982,7393568;NA;NA;15131076,4146559;NA;NA;NA;54615596,2431254;NA;NA;NA;NA;NA;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TE08-M020-01";56385193,8909333;8957998,15842812;51308894,1926562;NA;NA;56825598,0905966;NA;NA;87014920,7669309;170724308,256288;NA;NA;NA;NA;NA;NA
"74";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01";26691216,0430453;NA;29180413,7588566;NA;NA;26899691,4038327;NA;NA;NA;97094393,3211118;NA;NA;NA;NA;NA;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-02";17794144,0286969;NA;19453609,1725711;NA;NA;17933127,6025551;NA;NA;NA;64729595,5474079;NA;NA;NA;NA;NA;NA
"76";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";32251886,0520131;30562581,9522842;NA;NA;NA;32503793,7796312;NA;NA;296874435,557764;NA;NA;NA;NA;NA;NA;NA
"77";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";156810894,252891;52694106,814283;37934537,8865136;66303981,1024034;NA;158035686,997517;NA;NA;511852475,099594;126222711,317445;NA;NA;NA;992714796,084773;NA;NA
"78";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06";1570677972,07306;71453208,8401678;1634723254,28835;NA;NA;1572869789,2011;9824586,95319735;NA;694071956,235049;5402979340,34214;NA;91967745,6642056;NA;NA;NA;NA
"79";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07";167476259,330092;7798727,80851389;174097643,588778;NA;NA;159246173,11069;9300026,13700884;NA;75754166,3147398;544861370,520306;NA;87057343,2260722;NA;NA;NA;NA
"80";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";8383377318,92001;591438654,883513;8458550853,29123;22175244,515854;NA;8326126981,77132;119665436,193004;NA;5745032180,51784;27701839534,4576;NA;1120185556,19917;NA;332011637,486546;NA;NA
"81";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-10";16125943,0260066;15281290,9761421;NA;NA;NA;16251896,8898156;NA;NA;148437217,778882;NA;NA;NA;NA;NA;NA;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-11";16125943,0260066;15281290,9761421;NA;NA;NA;16251896,8898156;NA;NA;148437217,778882;NA;NA;NA;NA;NA;NA;NA
