"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"97";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";450;450;NA;NA;450;NA;NA;450;NA;NA;NA;NA;NA;NA
"98";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";30230;3187,5;23580;3462,5;23297,5;175;6757,5;NA;NA;20010;3187,5;3287,5;175;3570
"99";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";225;NA;NA;225;225;NA;NA;NA;NA;NA;NA;225;NA;NA
"100";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";212,5;NA;NA;212,5;212,5;NA;NA;NA;NA;NA;NA;212,5;NA;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";3105;NA;2162,5;942,5;2162,5;942,5;NA;NA;NA;2162,5;NA;NA;942,5;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01/02";672,5;NA;672,5;NA;672,5;NA;NA;NA;NA;672,5;NA;NA;NA;NA
"103";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";975;225;425;325;750;NA;225;NA;NA;425;225;325;NA;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01/02";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"105";"O3-C-1";250;NA;NA;250;250;NA;NA;NA;NA;NA;NA;250;NA;NA
"106";"T1";24330;7650;11662,5;5017,5;16505;7650;175;7475;4250;7412,5;175;1617,5;3400;NA
"107";"T1-C-10";487,5;250;237,5;NA;487,5;NA;NA;250;NA;237,5;NA;NA;NA;NA
"108";"T1-C-12";225;125;100;NA;225;NA;NA;125;NA;100;NA;NA;NA;NA
"109";"T1-C-9";1337,5;NA;1337,5;NA;1100;237,5;NA;NA;237,5;1100;NA;NA;NA;NA
"110";"T12";250;NA;NA;250;250;NA;NA;NA;NA;NA;NA;250;NA;NA
"111";"T13";7062,5;250;6087,5;725;5887,5;1175;NA;250;450;5637,5;NA;NA;725;NA
"112";"T14";1900;1300;600;NA;1900;NA;NA;1300;NA;600;NA;NA;NA;NA
"113";"T16-C-7";725;725;NA;NA;725;NA;NA;725;NA;NA;NA;NA;NA;NA
"114";"T17-C-1";145;NA;145;NA;145;NA;NA;NA;NA;145;NA;NA;NA;NA
"115";"T18";187,5;187,5;NA;NA;NA;NA;187,5;NA;NA;NA;187,5;NA;NA;NA
"116";"T19";1725;1725;NA;NA;1725;NA;NA;1725;NA;NA;NA;NA;NA;NA
