"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"89";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";2435;2160;NA;275;NA;1990;445
"90";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";20470;12670;907,5;6892,5;6657,5;11750;2062,5
"91";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";137,5;NA;NA;137,5;NA;137,5;NA
"92";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";987,5;287,5;550;150;NA;875;112,5
"93";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";2530;NA;2530;NA;87,5;2442,5;NA
"94";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";375;137,5;237,5;NA;NA;375;NA
"95";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";625;100;525;NA;NA;625;NA
"96";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03/04";187,5;NA;187,5;NA;NA;187,5;NA
"97";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";450;NA;450;NA;NA;450;NA
"98";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";30230;23705;3925;2600;1437,5;21760;7032,5
"99";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";225;125;NA;100;NA;225;NA
"100";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";212,5;NA;NA;212,5;NA;212,5;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";3105;2162,5;NA;942,5;NA;3105;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01/02";672,5;672,5;NA;NA;NA;672,5;NA
"103";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";975;225;250;500;250;725;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01/02";250;250;NA;NA;NA;250;NA
"105";"O3-C-1";250;NA;NA;250;250;NA;NA
"106";"T1";24330;15462,5;6262,5;2605;4650;19505;175
"107";"T1-C-10";487,5;237,5;250;NA;NA;487,5;NA
"108";"T1-C-12";225;NA;225;NA;NA;225;NA
"109";"T1-C-9";1337,5;937,5;400;NA;162,5;1175;NA
"110";"T12";250;NA;NA;250;250;NA;NA
"111";"T13";7062,5;4812,5;1525;725;200;6862,5;NA
"112";"T14";1900;NA;1900;NA;NA;1900;NA
"113";"T16-C-7";725;NA;725;NA;NA;725;NA
"114";"T17-C-1";145;145;NA;NA;NA;145;NA
"115";"T18";187,5;NA;187,5;NA;NA;187,5;NA
"116";"T19";1725;NA;1725;NA;NA;1725;NA
"117";"T2";6462,5;3050;NA;3412,5;4225;2237,5;NA
"118";"T2-C-5";150;150;NA;NA;NA;150;NA
"119";"T22";225;NA;225;NA;NA;225;NA
"120";"T25-C-2";512,5;512,5;NA;NA;NA;512,5;NA
"121";"T26";425;NA;425;NA;NA;425;NA
"122";"T27";3987,5;1362,5;2625;NA;NA;3987,5;NA
"123";"T29";250;250;NA;NA;NA;250;NA
"124";"T3";21812,5;11787,5;8525;1500;3500;18312,5;NA
"125";"T3-C-7";10602,5;2625;7977,5;NA;NA;9440;1162,5
"126";"T3-C-8";15692,5;4335;11357,5;NA;NA;15267,5;425
"127";"T3-C-9";7307,5;1625;5682,5;NA;NA;6450;857,5
"128";"T31";500;250;250;NA;NA;500;NA
"129";"T31-C-7";2725;2537,5;187,5;NA;NA;2362,5;362,5
"130";"T31-C-8";375;375;NA;NA;NA;237,5;137,5
"131";"T32";1962,5;1025;NA;937,5;NA;1712,5;250
"132";"T32-C-10";1225;1225;NA;NA;NA;1225;NA
"133";"T32-C-9";3280;2642,5;500;137,5;NA;3280;NA
"134";"T34";1137,5;387,5;NA;750;750;387,5;NA
"135";"T35";3112,5;1537,5;500;1075;400;2712,5;NA
"136";"T35-C-1";9727,5;3480;175;6072,5;937,5;8602,5;187,5
"137";"T35-C-2";12002,5;6402,5;100;5500;612,5;10627,5;762,5
"138";"T35-C-3";250;250;NA;NA;NA;250;NA
"139";"T36-C-1";8312,5;4675;100;3537,5;237,5;8075;NA
"140";"T36-C-2";212,5;212,5;NA;NA;NA;212,5;NA
"141";"T36-C-3";1662,5;662,5;1000;NA;NA;1662,5;NA
"142";"T37";162,5;NA;NA;162,5;162,5;NA;NA
"143";"T37-C-2";5725;2262,5;NA;3462,5;637,5;4812,5;275
"144";"T37-C-3";250;250;NA;NA;NA;250;NA
"145";"T38";1500;275;NA;1225;337,5;1162,5;NA
"146";"T38-C-1";19232,5;8425;237,5;10570;1482,5;17750;NA
"147";"T39";712,5;712,5;NA;NA;NA;712,5;NA
"148";"T39-C-1";350;200;NA;150;NA;350;NA
"149";"T39-C-2";400;NA;NA;400;NA;400;NA
"150";"T39-C-3";887,5;NA;887,5;NA;NA;887,5;NA
"151";"T39-C-4";3812,5;575;NA;3237,5;400;3225;187,5
"152";"T4";42287,5;22550;1250;18487,5;5675;33137,5;3475
"153";"T4-C-3";33522,5;17560;2062,5;13900;1962,5;29002,5;2557,5
"154";"T4-C-7";6690;2737,5;NA;3952,5;NA;6690;NA
"155";"T40";500;500;NA;NA;NA;NA;500
"156";"T40-C-1";1850;1137,5;NA;712,5;NA;1350;500
"157";"T41";1250;NA;NA;1250;NA;1250;NA
"158";"T41-C-1";7400;3162,5;NA;4237,5;875;6075;450
"159";"T42";245;NA;NA;245;NA;245;NA
"160";"T43";3000;300;NA;2700;500;2500;NA
"161";"T43-C-1";6032,5;787,5;NA;5245;950;4957,5;125
"162";"T44";14062,5;NA;NA;14062,5;4500;9562,5;NA
